URL	Status	Result	ResponseURL	PageTitle	PageTitleAlex	PageTitleStatus	MetaDescription	MetaDescriptionAlex	MetaDescriptionStatus	MetaKeyword	PriMetaKeywordAlex	SecMetaKeywordAlex	TrtMetaKeywordAlex	PriMetaKeywordStatus	SecMetaKeywordStatus	TrtMetaKeywordStatus	H1	H1Alex	H1Status
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/dassia	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/dassia	Villas In Dassia | Dassia Villas | Villa Plus		NOT MAPPED	Corfu Villa Holidays &amp; villas in Dassia, Corfu		NOT MAPPED	"Villas In Dassia" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Dassia		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/nissaki	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/nissaki	Holiday Villas in Nissaki Corfu 2017 | Villa Plus		NOT MAPPED	Find holiday villas in Nissaki, Corfu, featuring a beautiful pebbly beach and inviting turquoise waters. Book today and take advantage of our great offers.		NOT MAPPED	"Villas In Nissaki" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Nissaki		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/kalami	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/kalami	Holiday Villas in Kalami Corfu 2017 | Villa Plus		NOT MAPPED	Make an escape to a holiday villa in Kalami, a family friendly resort in Corfu, offering several good beachside tavernas, pleasant bars and water sports. 		NOT MAPPED	"Villas In Kalami" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Kalami		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/agios-stefanos	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/agios-stefanos	Holiday Villas in Agios Stefanos Corfu 2017 | Villa Plus		NOT MAPPED	For a quieter stay consider holiday villas in Agios Stefanos, a resort in Corfu, offering traditional Corfiot charm &amp; cuisine. Book today for free extras.		NOT MAPPED	"Villas In Agios Stefanos" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Agios Stefanos		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/kassiopi	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/kassiopi	Kassiopi Villa Holiday 2017 | Villa Plus		NOT MAPPED	Explore Greece with a Kassiopi villa holiday and its rich history as the last standing stronghold in Corfu. Book today from our range of beautiful villas.		NOT MAPPED	"Villas In Kassiopi" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Kassiopi		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/mahon	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/mahon	Holiday Villas in Mahon 2017 | Villa Plus		NOT MAPPED	Book your holiday villa in the scenic resort of Mahon with a scenic harbour offering daytime boat trips and an abundance of bars and nightspots.		NOT MAPPED	"Villas In Mahon" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Mahon		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/s-algar	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/s-algar	Holiday Villas in S'Algar 2017 | Villa Plus		NOT MAPPED	A favourite with British holiday makers, discover holiday villas in Sâ€™Algar, Menorca, for its entertainment and rocky platforms adorning the coast. 		NOT MAPPED	"Villas In Sâ€™Algar" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Salgar		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/punta-prima	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/punta-prima	Holiday Villas in Punta Prima 2017 | Villa Plus		NOT MAPPED	Find your ideal holiday villa in the beautiful resort of Punta Prima, Menorca, with beautiful sea and white sandy beaches featuring a choice of beach bars.		NOT MAPPED	"Villas In Punta Prima" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Punta Prima		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/binibeca	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/binibeca	Holiday Villas in Binibeca 2017 | Villa Plus		NOT MAPPED	Find holiday villas in Binibeca, one of the earliest coasted developments in Menorca. The beaches are popular with families. Book today!		NOT MAPPED	"Villas In Binibeca" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Binibeca		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-porter	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-porter	Holiday Villas in Menorca Calan Porter 2017 | Villa Plus		NOT MAPPED	Explore spectacular limestone cliffs, white sand beaches &amp; restaurants to suit all tastes with holiday villas in Menorca Calan Porter. Book with us today.		NOT MAPPED	"Villas In Calan Porter" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Calan Porter		FAIL
