URL	Status	Result	ResponseURL
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#car-hire	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#car-hire	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura#resorts	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura#resorts	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura#transfers	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/fuerteventura#transfers	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#transfers	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#transfers	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#resorts	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#resorts	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#transfers	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#transfers	
https://mobstaging.villaplus.com/destinations/villas-in-greek-islands/rhodes#beaches	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-greek-islands/rhodes#beaches	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#beaches	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/lanzarote#beaches	
https://mobstaging.villaplus.com/destinations/villas-in-greek-islands/corfu#car-hire	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-greek-islands/corfu#car-hire	
https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#resorts	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/majorca#resorts	
https://mobstaging.villaplus.com/destinations/villas-in-portugal/algarve#resorts	200	OK	https://mobstaging.villaplus.com/destinations/villas-in-portugal/algarve#resorts	
