URL	CANONICALTagsStatus	ResponseURL	CanonicalURLCheckFromPageSouce	CanonicalURLsStatus	AlternateStatus	AlternateURL	AlternateURLStatus
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-canary-islands/tenerife	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-blanca	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu	http://staging1.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/corfu	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/kefalonia	http://staging1.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/kefalonia	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/crete	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/crete	http://staging1.villaplus.com/destinations/villas-in-greek-islands/crete	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/crete	FAIL
http://staging1.villaplus.com/destinations/villas-in-greek-islands/rhodes	FOUND	https://www.villaplus.com/destinations/villas-in-greek-islands/rhodes	http://staging1.villaplus.com/destinations/villas-in-greek-islands/rhodes	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-greek-islands/rhodes	FAIL
http://staging1.villaplus.com/destinations/cyprus	FOUND	https://www.villaplus.com/destinations/cyprus	http://staging1.villaplus.com/destinations/cyprus	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus	FAIL
http://staging1.villaplus.com/owners	FOUND	https://www.villaplus.com/owners	http://staging1.villaplus.com/owners	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/vp-holiday-games-guide	FOUND	https://www.villaplus.com/vp-holiday-games-guide	http://staging1.villaplus.com/vp-holiday-games-guide	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/sitemap	FOUND	https://www.villaplus.com/sitemap	http://staging1.villaplus.com/sitemap	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/privacy	FOUND	https://www.villaplus.com/privacy	http://staging1.villaplus.com/privacy	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/eco-policy	FOUND	https://www.villaplus.com/eco-policy	http://staging1.villaplus.com/eco-policy	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/cookie-policy	FOUND	https://www.villaplus.com/cookie-policy	http://staging1.villaplus.com/cookie-policy	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/cheap-villa-holidays-with-flights	404	Not Found	FAIL
http://staging1.villaplus.com/cheap-villa-holidays	FOUND	https://www.villaplus.com/cheap-villa-holidays	http://staging1.villaplus.com/cheap-villa-holidays	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/last-minute-villas	FOUND	https://www.villaplus.com/last-minute-villas	http://staging1.villaplus.com/last-minute-villas	FAIL	FOUND	http://m.villaplus.com/last-minute-villas	FAIL
http://staging1.villaplus.com/villa-holidays-2017	FOUND	https://www.villaplus.com/villa-holidays-2017	http://staging1.villaplus.com/villa-holidays-2017	FAIL	FOUND	http://m.villaplus.com/villa-holidays-2017	FAIL
